,episode,score,avg_score,epsilon,loss,avg_loss
0,0,-349.7947133911464,-349.7947133911464,1.0,0.0,0.0
1,1,-317.8329341472018,-333.81382376917406,0.7599999999999998,1255.8214111328125,627.9107055664062
2,2,-645.5538814850016,-437.7271763411166,0.2049999999999993,661.3993530273438,639.0735880533854
3,3,-499.2391034204862,-453.105158110959,0.01,12.137399673461914,482.33954095840454
4,4,-458.9931051789084,-454.2827475245489,0.01,1256.25244140625,637.1221210479737
5,5,-448.63906938000804,-453.34213450045877,0.01,1255.7896728515625,740.2333796819051
6,6,-512.7929282438167,-461.8351050352242,0.01,89.07701110839844,647.2110413142613
7,7,-679.8482831398578,-489.08675229830334,0.01,41.5556640625,571.5041191577911
8,8,-354.6466498300488,-474.1489631351639,0.01,40.48877716064453,512.5024144914415
9,9,-629.4730550155717,-489.6813723232047,0.01,14.4053955078125,462.6927125930786
10,10,-196.50696774760723,-463.02915372542316,0.01,630.3875122070312,477.9376943761652
11,11,-305.36240529305525,-449.89025802272585,0.01,640.5170288085938,491.48597224553424
12,12,-121.9328644442216,-424.6627662089947,0.01,10.769088745117188,454.5077504378099
13,13,-495.86144042527235,-429.7483857958717,0.01,16.99958038330078,423.2571668624878
14,14,-820.6355852229254,-455.8075324243419,0.01,629.5306396484375,437.00873171488445
15,15,-591.8636451283062,-464.3110394683397,0.01,625.8534545898438,448.8115268945694
16,16,-899.7644642549207,-489.9259468087268,0.01,21.634681701660156,423.68347717733946
17,17,-419.27599963723037,-486.0009497436436,0.01,697.56396484375,438.8990598254734
18,18,-482.09065061269234,-485.7951445262251,0.01,21.645009994506836,416.9383203606856
19,19,-477.3389251932235,-485.37233355957505,0.01,632.3451538085938,427.70866203308105
20,20,-707.7859387119076,-495.96345761444803,0.01,13.532092094421387,407.98596822647824
21,21,-328.15605252813714,-488.335848292343,0.01,1181.10400390625,443.1276971210133
22,22,-264.0637647944207,-478.5848881402594,0.01,12.315512657165527,424.39673257910687
23,23,-446.6620385362062,-477.25476940675725,0.01,618.9573364257812,432.50342440605164
24,24,-367.91153456377344,-472.8810400130379,0.01,602.2660522460938,439.2939295196533
25,25,-424.58135580997396,-471.02335985138154,0.01,1001.5499877929688,460.91916253016547
26,26,-424.44801701343897,-469.29834715368,0.01,1216.810302734375,488.91513068587693
27,27,-422.4743979726311,-467.62606325435684,0.01,1829.85888671875,536.8059791156223
28,28,-362.8559639663843,-464.01330120994396,0.01,9.712950706481934,518.6303574463417
29,29,-284.11377203228255,-458.01665023735524,0.01,557.9249267578125,519.9401764233907
30,30,-381.87748918765544,-455.56054826801005,0.01,535.6968383789062,520.4484558413105
31,31,-429.3358604484573,-454.7410267736491,0.01,732.7936401367188,527.0842428505421
32,32,-323.5218143324505,-450.7646870027037,0.01,102.71405792236328,514.2245402769609
33,33,-371.4095097026459,-448.4307111997608,0.01,10.425285339355469,499.4069151317372
34,34,-515.5381391185394,-450.3480662831545,0.01,11.740086555480957,485.4735771724156
35,35,-301.37020293195155,-446.20979230117666,0.01,1763.9271240234375,520.986175696055
36,36,-445.06226817822187,-446.17877813569135,0.01,1220.861328125,539.9017203562969
37,37,-403.5985592560544,-445.0582460599114,0.01,14.270811080932617,526.0693280069452
38,38,-426.1714837670696,-444.5739701036847,0.01,9.153051376342773,512.8150645035964
39,39,-343.78127198580097,-442.0541526507376,0.01,1206.1878662109375,530.1493845462799
40,40,-391.9244222708683,-440.8314763000091,0.01,559.0751342773438,530.8548906372814
41,41,-320.59319842527145,-437.9686601601344,0.01,1214.9620361328125,547.1431560062226
42,42,-517.5719432155627,-439.81989930095835,0.01,1202.784423828125,562.3906273509181
43,43,-380.659928666785,-438.47535451381805,0.01,10.71738052368164,549.8525990139354
44,44,-463.53179366924815,-439.0321642728276,0.01,1168.6656494140625,563.6040001339383
45,45,-361.0127960901071,-437.3360910514641,0.01,8.85702896118164,551.5442833693131
46,46,-293.35149613000635,-434.2725890318586,0.01,9.307269096374512,540.007325618825
47,47,-497.0516864364432,-435.58048689445417,0.01,66.30242156982422,530.1384734511375
48,48,-450.2111554972367,-435.87907196798034,0.01,1215.6514892578125,544.1285349982126
49,49,-261.7132415684637,-432.39575535999,0.01,10.320618629455566,533.4523766708375
50,50,-290.4801888223008,-429.61309719258435,0.01,8.062031745910645,523.1506052017212
51,51,-434.21715919026224,-429.70163684638584,0.01,17.804750442504883,513.4324156871209
52,52,-423.7532623699672,-429.5894033656987,0.01,593.3348999023438,514.9400097289175
53,53,-406.57525052075994,-429.16321535005164,0.01,1141.8526611328125,526.5495032734341
54,54,-299.1420698997253,-426.7991945236821,0.01,16.897653579711914,517.2831060062755
55,55,-359.3991317309853,-425.59562197381246,0.01,23.059553146362305,508.4576854194914
56,56,-326.2291009813856,-423.8523496756997,0.01,604.2117919921875,510.13758202602986
57,57,-332.90626744541953,-422.2843137751776,0.01,1054.729248046875,519.5270935091479
58,58,-389.1208590888898,-421.72222132286765,0.01,45.09343338012695,511.4858450323848
59,59,-281.06138428427494,-419.3778740388911,0.01,523.5391845703125,511.68673402468363
60,60,-364.931622500507,-418.48531253826184,0.01,13.363813400268555,503.51750581772603
61,61,-256.98808430989425,-415.8805185345785,0.01,603.6976928710938,505.1333152863287
62,62,-471.30852398584824,-416.7603281449161,0.01,612.379150390625,506.83563012925407
63,63,-250.57167228147378,-414.1636303970499,0.01,13.820469856262207,499.13226824998856
64,64,-191.86430160985822,-410.74364072340074,0.01,567.4821166992188,500.1838043799767
65,65,-387.3729931194222,-410.38954000212834,0.01,11.491090774536133,492.77936932534885
66,66,-410.45582173019335,-410.3905292816517,0.01,25.690048217773438,485.80788692075816
67,67,-172.59214343277046,-406.89349419563877,0.01,547.06494140625,486.7087259573095
68,68,-642.5470461538972,-410.308763064599,0.01,12.12425708770752,479.8306901765906
69,69,53.92075955341325,-403.67691274148456,0.01,1732.2310791015625,497.72212430409024
70,70,-312.85084216507886,-402.39767231083096,0.01,13.62592887878418,490.9038680304944
71,71,29.856976662695512,-396.39413551953197,0.01,564.8565673828125,491.9309888548321
72,72,-326.7296868312617,-395.4398280032543,0.01,596.9814453125,493.3700362035673
73,73,-328.4822487961087,-394.5349958518064,0.01,15.339391708374023,486.91016262930793
74,74,-561.2364126173518,-396.75768140868036,0.01,9.952873229980469,480.55073210398353
75,75,-307.8319485865586,-395.5876059768103,0.01,15.348078727722168,474.42964455955905
76,76,-333.3023290748165,-394.7787062767844,0.01,11.19311237335205,468.41358569999795
77,77,-458.83955779590775,-395.59999924497833,0.01,964.3258666992188,474.7714354563982
78,78,-502.4744039322484,-396.95283981064,0.01,618.552001953125,476.5914426272428
79,79,-336.7745486373237,-396.2006111709735,0.01,1646.5140380859375,491.21547507047654
80,80,-417.1046066623769,-396.45868518938596,0.01,18.32215118408203,485.37728588669387
81,81,-312.2471651032672,-395.43171543223815,0.01,25.641376495361328,479.7707504063118
82,82,-433.5045205858464,-395.89042392806476,0.01,9.210841178894043,474.1013539095959
83,83,-335.6766308649065,-395.1735930582653,0.01,573.1041870117188,475.27995906557356
84,84,-365.53321606013895,-394.8248827406403,0.01,21.42162322998047,469.9404492322136
85,85,-439.92779902620475,-395.34933525558876,0.01,23.42829132080078,464.7484473960344
86,86,-6.013948825114847,-390.8742158713304,0.01,16.109094619750977,459.5916732261921
87,87,-144.9625083937263,-388.07976464999393,0.01,18.73230743408203,454.5819077058272
88,88,-141.96406325199808,-385.31441969046585,0.01,17.4252872467041,449.67003556583705
89,89,-418.3701544028703,-385.68170563171486,0.01,1535.8306884765625,461.7384872648451
90,90,-346.6547637708245,-385.25283813873796,0.01,1280.32666015625,470.7339616922232
91,91,-376.1663832948737,-385.1540723252177,0.01,14.728583335876465,465.77738149269766
92,92,-412.45647949531065,-385.4476465958639,0.01,15.009201049804688,460.93041181051603
93,93,-473.755816633736,-386.38709521328803,0.01,9.800661087036133,456.131159143245
94,94,-382.3687007203557,-386.3447963238888,0.01,17.75185775756836,451.5166401812905
95,95,-375.8974479444993,-386.2359697782701,0.01,9.762661933898926,446.9150362412135
96,96,-340.77133633838025,-385.7672622170341,0.01,19.639257431030273,442.51013130502605
97,97,-292.2292458917866,-384.81279266269485,0.01,19.463998794555664,438.193334034511
98,98,14.874093096103246,-380.77555139240394,0.01,1107.37451171875,444.95273986970534
99,99,-486.82116823973945,-381.83600756087725,0.01,957.9606323242188,450.0828187942505
100,100,-104.94812668926212,-379.38754169385834,0.01,13.534567832946777,450.21816447257993
101,101,-168.16533111930335,-377.8908656635794,0.01,413.4184265136719,441.79413462638854
102,102,-276.4075868238633,-374.19940271696805,0.01,20.50969123840332,435.38523800849913
103,103,-272.76924016145233,-371.93470408437776,0.01,594.4048461914062,441.20791247367856
104,104,-418.5643044555361,-371.53041607714397,0.01,547.9248046875,434.1246361064911
105,105,-91.47204347113978,-367.9587458180554,0.01,626.5325927734375,427.8320653057098
106,106,-292.9604769334865,-365.76042130495205,0.01,562.9937133789062,432.5712323284149
107,107,-72.75935022662289,-359.6895319758197,0.01,12.970226287841797,432.28537795066836
108,108,-391.2705401876301,-360.0557708793955,0.01,10.414133071899414,431.9846315097809
109,109,-323.4145839755248,-356.99518616899496,0.01,410.3429870605469,435.9440074253082
110,110,-142.1596690233637,-356.45171318175267,0.01,1460.6802978515625,444.24693528175357
111,111,-52.013234222832466,-353.9182214710504,0.01,23.277099609375,438.07453598976133
112,112,-118.56948241958092,-353.88458765080395,0.01,557.802490234375,443.54487000465394
113,113,-541.5475248834508,-354.3414484953857,0.01,11.55781078338623,443.49045230865477
114,114,-361.67227239943486,-349.75181536715075,0.01,571.0036010742188,442.9051819229126
115,115,-423.14624384968386,-348.0646413543646,0.01,341.55462646484375,440.0621936416626
116,116,-390.00828505599895,-342.9670795623754,0.01,1178.166015625,451.627506980896
117,117,-173.39102455402815,-340.5082298115433,0.01,582.3255615234375,450.47512294769285
118,118,-50.85314276332261,-336.19585473304966,0.01,347.4679870605469,453.7333527183533
119,119,-126.73439731978715,-332.68980945431525,0.01,1532.31640625,462.73306524276734
120,120,-185.83941882070715,-327.47034425540335,0.01,530.5354614257812,467.90309893608094
121,121,-172.21772107602123,-325.9109609408822,0.01,968.3029174804688,465.7750880718231
122,122,-133.83482960585633,-324.6086715889965,0.01,956.1928100585938,475.2138610458374
123,123,-407.4468474137632,-324.2165196777721,0.01,621.0259399414062,475.23454708099365
124,124,-151.5546203459205,-322.0529505355936,0.01,37.64445877075195,469.58833114624025
125,125,-195.0605938135292,-319.7577429156292,0.01,12.52947998046875,459.69812606811524
126,126,-167.19905122348564,-317.1852532577296,0.01,382.20904541015625,451.35211349487304
127,127,-284.4766582591136,-315.80527586059446,0.01,27.41693878173828,433.3276940155029
128,128,-95.92143843733207,-313.13593060530394,0.01,1048.4871826171875,443.71543633461
129,129,-387.0208354594272,-314.1650012395754,0.01,351.17254638671875,441.647912530899
130,130,-412.4212286522752,-314.47043863422164,0.01,32.7525520324707,436.6184696674347
131,131,-329.84847952339396,-313.4755648249709,0.01,10.37559700012207,429.39428923606874
132,132,-75.092450878662,-310.99127119043305,0.01,557.8575439453125,433.9457240962982
133,133,-361.96279794508337,-310.89680407285744,0.01,577.71435546875,439.61861479759216
134,134,-410.33160839859477,-309.844738765658,0.01,734.5536499023438,446.8467504310608
135,135,-355.4054180930078,-310.38509091726854,0.01,15.25002670288086,429.3599794578552
136,136,-301.6240760991782,-308.9507089964781,0.01,580.5460205078125,422.95682638168336
137,137,-89.94442404420406,-305.81416764435954,0.01,121.96214294433594,424.03373970031737
138,138,-278.82715241638664,-304.34072433085277,0.01,27.845338821411133,424.2206625747681
139,139,38.44612493223238,-300.51845036167236,0.01,26.44691276550293,412.42325304031374
140,140,-160.6286185392119,-298.2054923243558,0.01,389.0488586425781,410.72299028396606
141,141,-36.16120684600352,-295.36117240856316,0.01,24.882625579833984,398.8221961784363
142,142,-252.67399765077343,-292.7121929529153,0.01,24.30998420715332,387.0374517822266
143,143,-374.9681570063897,-292.6552752363113,0.01,20.753341674804688,387.1378113937378
144,144,-266.8772646399011,-290.6887299460179,0.01,842.7407836914062,383.87856273651124
145,145,31.37537119942376,-286.7648482731226,0.01,15.810291290283203,383.94809535980227
146,146,-410.4963327004167,-287.93629663882666,0.01,21.873003005981445,384.0737526988983
147,147,-69.90228043315176,-283.6648025787937,0.01,23.761709213256836,383.64834557533266
148,148,-266.9112006466134,-281.83180303028746,0.01,497.98095703125,376.471640253067
149,149,-24.31990330217965,-279.45786964762465,0.01,1136.85791015625,387.73701316833495
150,150,-333.9897002061084,-279.89296476146274,0.01,61.62754821777344,388.2726683330536
151,151,-491.1515349534443,-280.46230851909456,0.01,48.81446075439453,388.5827654361725
152,152,-387.42648638482115,-280.09904075924317,0.01,73.37580108642578,383.3831744480133
153,153,-329.4821509007024,-279.32810976304256,0.01,30.343088150024414,372.26807871818545
154,154,-514.6645002104665,-281.48333406614995,0.01,1020.4912109375,382.3040142917633
155,155,-371.05045643904623,-281.59984731323055,0.01,438.48431396484375,386.4582618999481
156,156,-356.11533126234133,-281.89870961604015,0.01,539.4343872070312,385.81048785209657
157,157,-288.59066636635384,-281.4555536052495,0.01,30.3861026763916,375.56705639839174
158,158,-332.2823742511396,-280.887168756872,0.01,542.3590698242188,380.53971276283266
159,159,-382.48275873417833,-281.901382501371,0.01,27.37407684326172,375.57806168556215
160,160,-447.2523027054406,-282.7245893034203,0.01,993.1543579101562,385.375967130661
161,161,-413.7813279520031,-284.29252173984133,0.01,18.15285301208496,379.5205187320709
162,162,-421.961767490802,-283.79905417489095,0.01,647.8383178710938,379.8751104068756
163,163,-268.01104639252196,-283.9734479160014,0.01,510.89508056640625,384.845856513977
164,164,-369.24316300035764,-285.7472365299064,0.01,684.1096801757812,386.0121321487427
165,165,-431.59968744640355,-286.1895034731762,0.01,796.9524536132812,393.8667457771301
166,166,-515.7812184253012,-287.2427574401274,0.01,13.679523468017578,393.74664052963254
167,167,-365.40221901146026,-289.1708581959142,0.01,552.9046630859375,393.80503774642943
168,168,-397.5618809690092,-286.7210065440653,0.01,11.97572135925293,393.8035523891449
169,169,-398.056365693116,-291.2407777965306,0.01,680.3754272460938,383.2849958705902
170,170,-346.7927617237534,-291.58019699211735,0.01,25.06983757019043,383.3994349575043
171,171,-430.7882093768306,-296.1866488525127,0.01,11.972729682922363,377.8705965805054
172,172,-423.5711747343688,-297.1550637315437,0.01,529.642822265625,377.19721035003664
173,173,-290.0765724399365,-296.771006967982,0.01,35.66469192504883,377.40046335220336
174,174,-394.3952225837995,-295.10259506764646,0.01,29.463607788085938,377.5955706977844
175,175,-360.4611376478696,-295.62888695825956,0.01,775.8360595703125,385.2004505062103
176,176,-415.928339241642,-296.4551470599278,0.01,32.31171417236328,385.41163652420045
177,177,-164.80847867576534,-293.5148362687264,0.01,609.0161743164062,381.8585396003723
178,178,-105.27687634555325,-289.54286099285946,0.01,14.687251091003418,375.8198920917511
179,179,-379.0681369589462,-289.9657968760757,0.01,27.553512573242188,359.6302868366241
180,180,-516.8844785105125,-290.96359559455703,0.01,669.27734375,366.1398387622833
181,181,-336.77255157106197,-291.208849459235,0.01,16.334095001220703,366.0467659473419
182,182,-318.4820520398762,-290.0586247737753,0.01,11.8531494140625,366.0731890296936
183,183,-375.75349347758464,-290.459393399902,0.01,12.085712432861328,360.46300428390504
184,184,-375.84012346363664,-290.562462473937,0.01,21.65768051147461,360.46536485672
185,185,-366.6866117988825,-289.8300506016638,0.01,301.314453125,363.24422647476194
186,186,-344.7269472648622,-293.21718058606126,0.01,13.39311408996582,363.2170666694641
187,187,-300.39976313438746,-294.77155313346793,0.01,484.14508056640625,367.8711944007874
188,188,-392.73118895116227,-297.27922439045955,0.01,23.178443908691406,367.9287259674072
189,189,-333.53133131089834,-296.4308361595398,0.01,52.70058059692383,353.0974248886108
190,190,-339.746333939789,-296.36175186122944,0.01,26.2476806640625,340.55663509368895
191,191,-356.2693672160083,-296.1627817004408,0.01,21.84598159790039,340.6278090763092
192,192,-361.684063097634,-295.655057536464,0.01,5.277106285095215,340.5304881286621
193,193,-344.3846204451298,-294.3613455745779,0.01,52.58416748046875,340.9583231925964
194,194,-174.22307076464145,-292.2798892750208,0.01,8.042337417602539,340.8612279891968
195,195,-375.293088811601,-292.2738456836919,0.01,1302.3006591796875,353.7866079616547
196,196,-176.2018292440198,-290.62815061274824,0.01,11.248588562011719,353.7027012729645
197,197,-310.4927003813412,-290.8107851576438,0.01,39.08060836791992,353.8988673686981
198,198,-254.06195398479338,-293.5001456284528,0.01,448.3479919433594,347.3086021709442
199,199,-292.7941134968265,-291.5598750810237,0.01,27.348236083984375,338.00247820854185
200,200,-350.1432785946065,-294.0118266000771,0.01,921.5302124023438,347.08243465423584
201,201,-254.57424793783474,-294.87591576826236,0.01,21.480443954467773,343.1630548286438
202,202,-314.04086845489354,-295.2522485845727,0.01,14.693346977233887,343.1048913860321
203,203,-455.90146246974564,-297.08357080765563,0.01,5.502989292144775,337.2158728170395
204,204,-424.41345941657517,-297.142062357266,0.01,289.6477966308594,334.63310273647306
205,205,-458.3213144657486,-300.8105550672121,0.01,28.312721252441406,328.6509040212631
